question_id,language,latency_seconds,accuracy_score,hallucination_score,answer_relevance_score,topic,question,ideal_answer,generated_answer,accuracy_explanation
q1_en,en,39.33,0,no,yes,mild headache,What is a good herbal remedy for a mild headache?,"Peppermint oil applied to the temples can relieve tension headaches, and chamomile tea has calming, anti-inflammatory properties that may ease headache pain. Feverfew is another traditional herb used to prevent and treat mild headaches. Ginger tea can also help by reducing inflammation.","For a mild headache, you can try a tea made with one to two teaspoons of dried lemon balm per cup of boiling water, steeped until cool. You can also spike this tea with feverfew, ginger, and turmeric for added relief. Alternatively, peppermint oil mixed with a little alcohol and rubbed on the temples can help alleviate headache pain. Other options include trying a mixture of cinnamon, lemongrass, peppermint, and rosemary as a tea.

Some other herbs that may be considered for headache relief include wormwood, cayenne, lavender, chamomile, marjoram, and Jamaica dogwood.

If you'd like more tailored advice, could you please share your health information with me?",Judge timed out.
q1_tr,tr,29.96,0,no,yes,mild headache,Hafif bir baş ağrısı için iyi bir bitkisel ilaç nedir?,"Şakaklara uygulanan nane yağı gerilim baş ağrılarını hafifletebilir ve papatya çayı sakinleştirici, anti-enflamatuar özellikleriyle baş ağrısını azaltabilir. Gümüşdüğme (feverfew) hafif baş ağrılarını önlemek ve tedavi etmek için kullanılan geleneksel bir bitkidir. Zencefil çayı da iltihap azaltarak yardımcı olabilir.","Hafif bir baş ağrısı için iyi bir bitkisel ilaç olarak aşağıdaki seçenekler düşünülebilir:
* Yeşil Çay: Antioksidan açısından zengin olan yeşil çay, baş ağrısı ile mücadelede yardımcı olabilir.
* Papatya Çayı: Yüzyıllardır, papatya, sakinleştirici ve iltihap giderici özellikleriyle baş ağrısını tedavi eder.
* Nane Çayı: Nane yağı, serinletici ve ferahlatıcı etkisiyle baş ağrısını hafifletir.
* Lavanta Çayı: Lavanta yağı, sakinleştirici ve rahatlatıcı etkisiyle baş ağrısını hafifletir.
* Zencefil Çayı: Zencefil, doğal bir anti-inflamatuar ve ağrı kesici olarak bilinir.
* Adaçayı Çayı: Adaçayı da baş ağrısı ve migrenin doğal bir tedavisi olarak kullanılabilir.
Bu bitkisel çayları düzenli olarak tüketmek, baş ağrısı riskini azaltmaya yardımcı olabilir. Ancak doğru kullanım ve dozaj önemlidir.

Bu bilgiler ışığında, baş ağrısı için en uygun bitkisel ilacı seçmek önemlidir. Ayrıca, herhangi bir sağlık sorunu veya alerji durumu varsa, bu bitkisel çayların tüketilmeden önce bir uzmana danışılması önerilir.",Judge timed out.
q1_ar,ar,25.32,0,no,yes,mild headache,ما هو العلاج العشبي الجيد للصداع الخفيف؟,زيت النعناع المطبق على الصدغين يمكن أن يخفف صداع التوتر، وشاي البابونج له خصائص مهدئة ومضادة للالتهابات قد تخفف ألم الصداع. الأقحوان (فيفرفيو) هو عشب تقليدي آخر يستخدم لمنع وعلاج الصداع الخفيف. شاي الزنجبيل يمكن أن يساعد أيضًا عن طريق تقليل الالتهاب.,يمكن استخدام نبات الأقحوان، الذي ينمو في جبال البلقان، لعلاج الصداع الخفيف. كما يمكن استخدام مكملات اليانسون، أو عشبة الصفصاف، أو زيت اللافندر لتخفيف الصداع. يُعدّ شاي الزنجبيل الطازج أيضًا علاجًا يساعد على تخفيف الصداع الخفيف. إذا كنت تريد معرفة المزيد عن العلاجات العشبية، يمكنك استكشاف الموارد المتاحة. هل تود أن تشارك أي معلومات عن صحتك لكي أستطيع تقديم نصائح أكثر دقة؟,Judge timed out.
q2_en,en,16.56,0,yes,yes,sleep and insomnia,Which herbs can help me sleep better at night?,"Valerian root is widely studied for improving sleep quality and reducing the time it takes to fall asleep. Passionflower and lemon balm are also effective herbal sedatives. Lavender, whether inhaled as aromatherapy or consumed as tea, promotes relaxation and better sleep. Chamomile tea before bed is another popular option.","To help you sleep better at night, several herbs can be considered.
Some options include passionflower, valerian, and California poppy, which can be used to treat sleeplessness and its close relatives, anxiety and stress.
Additionally, a combination of California poppy, hawthorn, and hops may help banish anxiety that may cause insomnia.
For stressful situations that could contribute to insomnia, a blend of camomile, lavender, lemon balm, and linden with orange peel may be helpful.
You can also try a tea made with lemon balm or valerian root shortly before bedtime to promote sleepiness and reduce nervous tension.
Other herbs like ginger, basil, and thyme have sedative compounds that may aid in sleep.

Don't forget to share your health information with me for safer advice.",Judge timed out.
q2_tr,tr,21.24,0,no,yes,sleep and insomnia,Gece daha iyi uyumama hangi bitkiler yardımcı olabilir?,"Kediotu kökü (valerian) uyku kalitesini artırmak ve uykuya dalma süresini kısaltmak için yaygın şekilde çalışılmıştır. Çarkıfelek çiçeği ve melisa da etkili bitkisel sakinleştiricilerdir. Lavanta, ister aromaterapi olarak ister çay olarak tüketilsin, rahatlamayı ve daha iyi uykuyu teşvik eder. Yatmadan önce papatya çayı da popüler bir seçenektir.","Gece daha iyi uyumana yardımcı olabilecek bazı bitkiler şunlar:
* Lavanta: Uykuya dalma süresini kısaltır ve daha derin bir uyku sağlar.
* Papatya: Uykusuzluk çekenler için doğal bir çözüm sunar.
* Valerian kökü: Uyku kalitesini artırmak için kullanılan güçlü bir şifalı bitkidir.
* Melisa: Sakinleştirici ve stres azaltıcı özellikleri nedeniyle uyku kalitesini artırmada etkilidir.
* Kediotu: Uykusuzluk tedavisinde kullanılan doğal bir uyku ilacı olarak bilinir.
* Şerbetçiotu: Rahatlatıcı ve uyku getirici etkiye sahip bir bitkidir.
* Paşa kılıcı: Geceleri havadaki karbondioksiti oksijene çevirerek ortamdaki oksijen oranının artmasına yardımcı olur.
* Aloe vera: Geceleri oksijen salımı yapar ve kötü koku ve dumanı da azaltır.

Bu bitkileri uyku rutininize dahil etmek, gece boyunca daha derin ve dinlendirici bir uyku sağlamak için doğal bir yol sunar.",Judge timed out.
q2_ar,ar,48.83,0,no,yes,sleep and insomnia,ما هي الأعشاب التي يمكن أن تساعدني على النوم بشكل أفضل في الليل؟,جذر الناردين (فاليريان) مدروس على نطاق واسع لتحسين جودة النوم وتقليل وقت الخلود إلى النوم. زهرة الآلام والمليسة هي أيضًا مهدئات عشبية فعالة. الخزامى، سواء تم استنشاقها كعلاج عطري أو شربها كشاي، تعزز الاسترخاء والنوم الأفضل. شاي البابونج قبل النوم هو خيار شائع آخر.,"يمكن أن تساعدك الأعشاب التالية على النوم بشكل أفضل في الليل:
- البابونج: يهدئ الأعصاب ويساعد على النوم.
- اللافندر: رائحته تقلل القلق وتحسن النوم.
- الأشواغاندا: تعزز الاسترخاء وتحسين النوم.
- نبتة القديس يوحنا: تخفف التوتر وتحسن المزاج.
- زهرة البنفسج: ترخي الجسم وتخفف القلق.
- بلسم الليمون: يهدئ الأعصاب ويساعد على النوم.
- الناردين: يعزز الاسترخاء وتحسين النوم.
إذا كنت تعاني من الأرق، يمكنك تجربة شرب شاي البابونج قبل النوم أو استنشاق زيت اللافندر العطري. يُفضل استشارة chuyênي قبل استخدام أي أعشاب لضمان سلامتك.
إذا كنت ترغب في الحصول على نصائح أكثر دقة، يُرجى مشاركتي بمعلومات حول حالتك الصحية.",Judge timed out.
q3_en,en,17.26,0,no,no,digestive issues,What herbal teas are good for digestion and stomach problems?,"Peppermint tea relaxes the digestive tract muscles and relieves bloating and gas. Ginger tea is excellent for nausea, indigestion, and stomach cramps. Fennel tea helps with bloating and flatulence. Chamomile tea soothes the stomach lining and may help with acid reflux. Licorice root (DGL form) can protect the stomach lining.","I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.",Judge timed out.
q3_tr,tr,9.36,0,no,no,digestive issues,Sindirim ve mide sorunları için hangi bitkisel çaylar iyidir?,"Nane çayı sindirim sistemi kaslarını gevşetir, şişkinlik ve gaz sorunlarını hafifletir. Zencefil çayı bulantı, hazımsızlık ve mide krampları için mükemmeldir. Rezene çayı şişkinlik ve gaz gidermeye yardımcı olur. Papatya çayı mide zarını yatıştırır ve mide asidi reflüsünde yardımcı olabilir. Meyan kökü (DGL formu) mide zarını koruyabilir.","I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.",Judge timed out.
q3_ar,ar,0.46,0,N/A,no,digestive issues,ما هي شايات الأعشاب الجيدة للهضم ومشاكل المعدة؟,شاي النعناع يريح عضلات الجهاز الهضمي ويخفف الانتفاخ والغازات. شاي الزنجبيل ممتاز للغثيان وعسر الهضم وتشنجات المعدة. شاي الشمر يساعد في الانتفاخ وانتفاخ البطن. شاي البابونج يهدئ بطانة المعدة وقد يساعد في ارتجاع الحمض. جذر العرقسوس (شكل DGL) يمكن أن يحمي بطانة المعدة.,"Thanks for your message. I can help with herbal wellness topics, traditional remedies, and plant-based guidance.",Judge timed out.
q4_en,en,10.06,0,no,no,immune support during cold,How can I boost my immune system naturally with herbs when I have a cold?,Echinacea is one of the most popular herbs for immune support and may reduce cold duration. Elderberry has antiviral properties and can help fight upper respiratory infections. Astragalus root strengthens overall immunity. Ginger and turmeric both have strong anti-inflammatory and immune-modulating effects. Garlic is a natural antimicrobial that supports immune function.,"I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.",Judge timed out.
