question_id,language,accuracy_score,hallucination_score,answer_relevance_score,topic,question,ideal_answer,generated_answer,accuracy_explanation
q1_en,en,0,no,no,mild headache,What is a good herbal remedy for a mild headache?,"Peppermint oil applied to the temples can relieve tension headaches, and chamomile tea has calming, anti-inflammatory properties that may ease headache pain. Feverfew is another traditional herb used to prevent and treat mild headaches. Ginger tea can also help by reducing inflammation.","I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99991, Requested 356. Please try again in 4m59.808s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q1_tr,tr,0,no,no,mild headache,Hafif bir baş ağrısı için iyi bir bitkisel ilaç nedir?,"Şakaklara uygulanan nane yağı gerilim baş ağrılarını hafifletebilir ve papatya çayı sakinleştirici, anti-enflamatuar özellikleriyle baş ağrısını azaltabilir. Gümüşdüğme (feverfew) hafif baş ağrılarını önlemek ve tedavi etmek için kullanılan geleneksel bir bitkidir. Zencefil çayı da iltihap azaltarak yardımcı olabilir.","I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99975, Requested 393. Please try again in 5m17.952s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q1_ar,ar,0,N/A,no,mild headache,ما هو العلاج العشبي الجيد للصداع الخفيف؟,زيت النعناع المطبق على الصدغين يمكن أن يخفف صداع التوتر، وشاي البابونج له خصائص مهدئة ومضادة للالتهابات قد تخفف ألم الصداع. الأقحوان (فيفرفيو) هو عشب تقليدي آخر يستخدم لمنع وعلاج الصداع الخفيف. شاي الزنجبيل يمكن أن يساعد أيضًا عن طريق تقليل الالتهاب.,"Thanks for your message. I can help with herbal wellness topics, traditional remedies, and plant-based guidance.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99963, Requested 403. Please try again in 5m16.224s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q2_en,en,0,no,no,sleep and insomnia,Which herbs can help me sleep better at night?,"Valerian root is widely studied for improving sleep quality and reducing the time it takes to fall asleep. Passionflower and lemon balm are also effective herbal sedatives. Lavender, whether inhaled as aromatherapy or consumed as tea, promotes relaxation and better sleep. Chamomile tea before bed is another popular option.","I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99947, Requested 369. Please try again in 4m33.024s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q2_tr,tr,0,N/A,no,sleep and insomnia,Gece daha iyi uyumama hangi bitkiler yardımcı olabilir?,"Kediotu kökü (valerian) uyku kalitesini artırmak ve uykuya dalma süresini kısaltmak için yaygın şekilde çalışılmıştır. Çarkıfelek çiçeği ve melisa da etkili bitkisel sakinleştiricilerdir. Lavanta, ister aromaterapi olarak ister çay olarak tüketilsin, rahatlamayı ve daha iyi uykuyu teşvik eder. Yatmadan önce papatya çayı da popüler bir seçenektir.","Thanks for your message. I can help with herbal wellness topics, traditional remedies, and plant-based guidance.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99934, Requested 417. Please try again in 5m3.264s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q2_ar,ar,0,N/A,no,sleep and insomnia,ما هي الأعشاب التي يمكن أن تساعدني على النوم بشكل أفضل في الليل؟,جذر الناردين (فاليريان) مدروس على نطاق واسع لتحسين جودة النوم وتقليل وقت الخلود إلى النوم. زهرة الآلام والمليسة هي أيضًا مهدئات عشبية فعالة. الخزامى، سواء تم استنشاقها كعلاج عطري أو شربها كشاي، تعزز الاسترخاء والنوم الأفضل. شاي البابونج قبل النوم هو خيار شائع آخر.,"Thanks for your message. I can help with herbal wellness topics, traditional remedies, and plant-based guidance.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99922, Requested 404. Please try again in 4m41.664s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q3_en,en,0,no,no,digestive issues,What herbal teas are good for digestion and stomach problems?,"Peppermint tea relaxes the digestive tract muscles and relieves bloating and gas. Ginger tea is excellent for nausea, indigestion, and stomach cramps. Fennel tea helps with bloating and flatulence. Chamomile tea soothes the stomach lining and may help with acid reflux. Licorice root (DGL form) can protect the stomach lining.","I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99906, Requested 380. Please try again in 4m7.104s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q3_tr,tr,0,no,no,digestive issues,Sindirim ve mide sorunları için hangi bitkisel çaylar iyidir?,"Nane çayı sindirim sistemi kaslarını gevşetir, şişkinlik ve gaz sorunlarını hafifletir. Zencefil çayı bulantı, hazımsızlık ve mide krampları için mükemmeldir. Rezene çayı şişkinlik ve gaz gidermeye yardımcı olur. Papatya çayı mide zarını yatıştırır ve mide asidi reflüsünde yardımcı olabilir. Meyan kökü (DGL formu) mide zarını koruyabilir.","I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99890, Requested 419. Please try again in 4m26.976s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q3_ar,ar,0,N/A,no,digestive issues,ما هي شايات الأعشاب الجيدة للهضم ومشاكل المعدة؟,شاي النعناع يريح عضلات الجهاز الهضمي ويخفف الانتفاخ والغازات. شاي الزنجبيل ممتاز للغثيان وعسر الهضم وتشنجات المعدة. شاي الشمر يساعد في الانتفاخ وانتفاخ البطن. شاي البابونج يهدئ بطانة المعدة وقد يساعد في ارتجاع الحمض. جذر العرقسوس (شكل DGL) يمكن أن يحمي بطانة المعدة.,"Thanks for your message. I can help with herbal wellness topics, traditional remedies, and plant-based guidance.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99878, Requested 415. Please try again in 4m13.152s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q4_en,en,0,no,no,immune support during cold,How can I boost my immune system naturally with herbs when I have a cold?,Echinacea is one of the most popular herbs for immune support and may reduce cold duration. Elderberry has antiviral properties and can help fight upper respiratory infections. Astragalus root strengthens overall immunity. Ginger and turmeric both have strong anti-inflammatory and immune-modulating effects. Garlic is a natural antimicrobial that supports immune function.,"I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.","Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99986, Requested 382. Please try again in 5m17.952s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
