question_id,topic,language,question,ideal_answer,generated_answer,hallucination_score,answer_relevance_score,accuracy_score,accuracy_explanation,consistency_score,consistency_explanation
q1,mild headache,en,What is a good herbal remedy for a mild headache?,"Peppermint oil applied to the temples can relieve tension headaches, and chamomile tea has calming, anti-inflammatory properties that may ease headache pain. Feverfew is another traditional herb used to prevent and treat mild headaches. Ginger tea can also help by reducing inflammation.","For a mild headache, you can try a tea made with one to two teaspoons of dried lemon balm per cup of boiling water, steeped until cool. You can also spike this tea with feverfew, ginger, and turmeric for added relief. Alternatively, peppermint oil mixed with a little alcohol and rubbed on the temples can help alleviate headache pain. Other options include trying a mixture of cinnamon, lemongrass, peppermint, and rosemary as a tea.

Some other herbs that may be considered for headache relief include wormwood, cayenne, lavender, chamomile, marjoram, and Jamaica dogwood. If you'd like more tailored advice, please consider sharing your health information with me.",no,yes,70,"Most key facts present, mentions relevant herbs like peppermint, feverfew, and ginger, but includes extra details and some minor omissions compared to the ideal answer.",,Reference language
q1,mild headache,tr,Hafif bir baş ağrısı için iyi bir bitkisel ilaç nedir?,"Şakaklara uygulanan nane yağı gerilim baş ağrılarını hafifletebilir ve papatya çayı sakinleştirici, anti-enflamatuar özellikleriyle baş ağrısını azaltabilir. Gümüşdüğme (feverfew) hafif baş ağrılarını önlemek ve tedavi etmek için kullanılan geleneksel bir bitkidir. Zencefil çayı da iltihap azaltarak yardımcı olabilir.","Hafif bir baş ağrısı için iyi bir bitkisel ilaç olarak aşağıdaki seçenekler düşünülebilir:
* Zencefil çayı: Antiinflamatuar özelliklere sahiptir ve baş ağrısı ile mücadelede yardımcı olabilir.
* Papatya çayı: Huzurlu bir zihin için destek olurken, baş ağrısı riskini azaltabilir.
* Yeşil çay: Antioksidan açısından zengin olan yeşil çay, baş ağrısı ile mücadelede yardımcı olabilir.
* Nane çayı: Baş ağrısına iyi gelir ve genellikle güvenli kabul edilir.
* Lavanta yağı: Sakinleştirici ve gevşetici özellikleri, baş ağrısının şiddetini azaltmaya yardımcı olabilir.
* Adaçayı: Stresi azaltmaya ve sinir sistemini sakinleştirmeye yardımcı olan doğal bir sakinleştirici olarak da bilinir.

Bu bitkisel çayları ve yağları kullanırken doğru kullanım ve dozaj önemlidir. Ayrıca, baş ağrısı olan bireyler için sıvı alımını artırarak dehidrasyonun önüne geçmek de faydalı olabilir.
Bu bilgiler ışığında, hafif bir baş ağrısı için iyi bir bitkisel ilaç seçeneği olarak yukarıda belirtilen seçeneklerden birini deneyebilirsiniz.",no,yes,70,"Hem GENERATED ANSWER hem de IDEAL ANSWER baş ağrısı için bitkisel çözümler öneriyor, ancak GENERATED ANSWER daha fazla seçenek sunarken, IDEAL ANSWER daha spesifik ve geleneksel bitkisel çözümlere odaklanıyor.",50,"Some herbs like peppermint, lavender, and lemon balm are mentioned in both answers, but there are significant discrepancies and omissions, such as the English answer mentioning feverfew, turmeric, and Jamaica dogwood, which are not present in the Turkish answer, and the Turkish answer mentioning green tea, chamomile, and sage, which are not present in the English answer."
q1,mild headache,ar,ما هو العلاج العشبي الجيد للصداع الخفيف؟,زيت النعناع المطبق على الصدغين يمكن أن يخفف صداع التوتر، وشاي البابونج له خصائص مهدئة ومضادة للالتهابات قد تخفف ألم الصداع. الأقحوان (فيفرفيو) هو عشب تقليدي آخر يستخدم لمنع وعلاج الصداع الخفيف. شاي الزنجبيل يمكن أن يساعد أيضًا عن طريق تقليل الالتهاب.,يمكن استخدام نباتات مثل البابونج، النعناع، والزنجبيل لعلاج الصداع. يمكن شرب شاي البابونج أو النعناع لتخفيف آلام الصداع. كما يمكن استخدام زيت اللافندر أو زيت النيم لتهدئة الأعصاب وتقليل التوتر. يمكن أيضًا تناول مشروب البابونج أو شاي النعناع لتهدئة الصداع الناتج عن التوتر. إذا كنت تريد معرفة المزيد عن العلاجات العشبية التي تناسبك، يرجى مشاركتنا بمعلومات عن صحتك حتى نستطيع تقديم نصائح أكثر دقة.,no,yes,70,الجواب المُولَّد يذكر بعض النباتات الصحيحة مثل البابونج والنعناع والزنجبيل، ولكنه يفتقر إلى ذكر الأقحوان (فيفرفيو) ويضيف زيت اللافندر وزيت النيم التي لم تُذكر في الجواب المثالي. كما يُشير إلى استخدامات مختلفة قليلاً للنباتات المذكورة.,50,"Some herbs like chamomile and peppermint are mentioned in both answers, but the English reference includes a wider variety of herbs and specific preparation methods, while the Arabic answer focuses on a narrower set of herbs and general uses, indicating some factual overlap but significant discrepancies."
q2,sleep and insomnia,en,Which herbs can help me sleep better at night?,"Valerian root is widely studied for improving sleep quality and reducing the time it takes to fall asleep. Passionflower and lemon balm are also effective herbal sedatives. Lavender, whether inhaled as aromatherapy or consumed as tea, promotes relaxation and better sleep. Chamomile tea before bed is another popular option.","To help you sleep better at night, several herbs can be considered.
Some options include passionflower, valerian, and California poppy, which can be used to treat sleeplessness and its close relatives, anxiety and stress.
Additionally, a combination of California poppy, hawthorn, and hops may help banish anxiety that may cause insomnia.
For stressful situations that could contribute to insomnia, a blend of camomile, lavender, lemon balm, and linden with orange peel may be helpful.
You can also try a tea made with lemon balm or valerian root shortly before bedtime to promote sleepiness and reduce nervous tension.
Other herbs like ginger, basil, and thyme have sedative compounds that may aid in sleep as well.
If you'd like more tailored advice, could you please share a bit about your health profile?",yes,yes,70,"Most key facts present, mentions valerian, passionflower, and lemon balm, but includes extra details and other herbs not mentioned in the ideal answer.",,Reference language
q2,sleep and insomnia,tr,Gece daha iyi uyumama hangi bitkiler yardımcı olabilir?,"Kediotu kökü (valerian) uyku kalitesini artırmak ve uykuya dalma süresini kısaltmak için yaygın şekilde çalışılmıştır. Çarkıfelek çiçeği ve melisa da etkili bitkisel sakinleştiricilerdir. Lavanta, ister aromaterapi olarak ister çay olarak tüketilsin, rahatlamayı ve daha iyi uykuyu teşvik eder. Yatmadan önce papatya çayı da popüler bir seçenektir.","Gece daha iyi uyumana yardımcı olabilecek bitkiler arasında lavanta, papatya, melisa, aloe vera, yasemin, kediotu, scullcap, çarkıfelek, hibiskus, ginseng, yulaf samanı ve şerbetçi otu gibi bitkiler bulunur. Bu bitkilerin bazıları stres ve anksiyeteyi azaltmaya yardımcı olurken, bazıları da sinir sistemini yatıştırarak uyku kalitesini artırabilir. Örneğin, lavanta ve papatya çayı, yatmadan önce içildiğinde rahatlatıcı ve yatıştırıcı etkileri sayesinde uyku kalitesini artırabilir. Ayrıca, melisa ve kediotu gibi bitkiler de uyku sorunlarına karşı doğal çözümler olarak önerilir.",no,yes,80,"Hem GENERATED ANSWER hem de IDEAL ANSWER, uyku kalitesini artırmaya yardımcı olan bitkileri listeler, ancak GENERATED ANSWER daha geniş bir bitki yelpazesini içerir ve bazı bitkilerin etkilerine daha ayrıntılı olarak değinir. IDEAL ANSWER ise daha özgün ve bazı bitkilerin spesifik faydalarına odaklanır.",50,"Some herbs like lavender and lemon balm (melisa) are consistent, but many others differ between languages, indicating some factual overlap but significant discrepancies."
q2,sleep and insomnia,ar,ما هي الأعشاب التي يمكن أن تساعدني على النوم بشكل أفضل في الليل؟,جذر الناردين (فاليريان) مدروس على نطاق واسع لتحسين جودة النوم وتقليل وقت الخلود إلى النوم. زهرة الآلام والمليسة هي أيضًا مهدئات عشبية فعالة. الخزامى، سواء تم استنشاقها كعلاج عطري أو شربها كشاي، تعزز الاسترخاء والنوم الأفضل. شاي البابونج قبل النوم هو خيار شائع آخر.,"هناك العديد من الأعشاب التي يمكن أن تساعد على النوم بشكل أفضل في الليل. تشمل هذه الأعشاب:
- الناردين: يمكن أن يساعد على تعزيز الاسترخاء وتحسين النوم.
- البابونج: يمكن أن يساعد في تقليل الوقت اللازم للنوم، وتحسين جودة النوم، وتقليل الاستيقاظ الليلي، وتخفيف القلق.
- الخزامى (اللافندر): يمكن أن يساعد على تحسين جودة النوم، من خلال تعزيز الاسترخاء وتخفيف الأرق.
- الأشواغاندا: يمكن أن تساعد في تحسين جودة النوم، وتقليل الوقت اللازم للنوم، وزيادة إجمالي وقت النوم، وتحسين كفاءة النوم.
- الريحان: يمكن أن يساعد في تقليل التوتر والقلق، مما يعزز الاسترخاء ويساعد على النوم بشكل أفضل.
- القرفة: يمكن أن تساعد في تقليل التوتر والقلق، مما يساعد على تهدئة الجسم وتحسين الاسترخاء قبل النوم.
- الجينسنغ: يمكن أن يساعد على تحسين جودة النوم، ويمكن تناوله مرتين على مدار اليوم.
- اليانسون: يمكن أن يساعد على النوم العميق.
إذا كنت ترغب في استخدام هذه الأعشاب، يمكنك شرب شايها أو استخدامها في العلاج العطري. يُفضل استشارة طبيب أو مختص في الأعشاب قبل استخدامها، خاصة إذا كنت تعاني من أي حالة صحية أو تناول دواء.",no,yes,70,الجواب المُولَّد يحتوي على معظم الحقائق الموجودة في الجواب المثالي، مثل ذكر الناردين والبابونج والخزامى كأعشاب تساعد على النوم، لكنه يحتوي على بعض الإضافات الإضافية مثل الأشواغاندا والريحان والقرفة والجينسنغ واليانسون التي ليست موجودة في الجواب المثالي.,30,"Significant discrepancies; different herbs and contradictory info, with only lavender being a common herb mentioned in both answers, and the AR answer introducing several new herbs not mentioned in the EN reference answer."
q3,digestive issues,en,What herbal teas are good for digestion and stomach problems?,"Peppermint tea relaxes the digestive tract muscles and relieves bloating and gas. Ginger tea is excellent for nausea, indigestion, and stomach cramps. Fennel tea helps with bloating and flatulence. Chamomile tea soothes the stomach lining and may help with acid reflux. Licorice root (DGL form) can protect the stomach lining.","I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.",no,no,0,"Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99749, Requested 601. Please try again in 5m2.4s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")",,Reference language
q3,digestive issues,tr,Sindirim ve mide sorunları için hangi bitkisel çaylar iyidir?,"Nane çayı sindirim sistemi kaslarını gevşetir, şişkinlik ve gaz sorunlarını hafifletir. Zencefil çayı bulantı, hazımsızlık ve mide krampları için mükemmeldir. Rezene çayı şişkinlik ve gaz gidermeye yardımcı olur. Papatya çayı mide zarını yatıştırır ve mide asidi reflüsünde yardımcı olabilir. Meyan kökü (DGL formu) mide zarını koruyabilir.","I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.",no,no,0,"Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99749, Requested 655. Please try again in 5m49.056s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")",0,"Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99749, Requested 654. Please try again in 5m48.191999999s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q3,digestive issues,ar,ما هي شايات الأعشاب الجيدة للهضم ومشاكل المعدة؟,شاي النعناع يريح عضلات الجهاز الهضمي ويخفف الانتفاخ والغازات. شاي الزنجبيل ممتاز للغثيان وعسر الهضم وتشنجات المعدة. شاي الشمر يساعد في الانتفاخ وانتفاخ البطن. شاي البابونج يهدئ بطانة المعدة وقد يساعد في ارتجاع الحمض. جذر العرقسوس (شكل DGL) يمكن أن يحمي بطانة المعدة.,"Thanks for your message. I can help with herbal wellness topics, traditional remedies, and plant-based guidance.",N/A,no,0,"Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99749, Requested 660. Please try again in 5m53.376s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")",0,"Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99749, Requested 587. Please try again in 4m50.304s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")"
q4,immune support during cold,en,How can I boost my immune system naturally with herbs when I have a cold?,Echinacea is one of the most popular herbs for immune support and may reduce cold duration. Elderberry has antiviral properties and can help fight upper respiratory infections. Astragalus root strengthens overall immunity. Ginger and turmeric both have strong anti-inflammatory and immune-modulating effects. Garlic is a natural antimicrobial that supports immune function.,"I found partial herbal information, but the final draft was unclear. Please ask again with a bit more detail about the symptom or herb.",no,no,0,"Judge error: RateLimitError(""Error code: 429 - {'error': {'message': 'Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01kke2aaqfewma19j7m1s44b43` service tier `on_demand` on tokens per day (TPD): Limit 100000, Used 99739, Requested 677. Please try again in 5m59.424s. Need more tokens? Upgrade to Dev Tier today at https://console.groq.com/settings/billing', 'type': 'tokens', 'code': 'rate_limit_exceeded'}}"")",,Reference language
